Run_Start	Date	Contracts	Cumulative_PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2021-07-09	2021-07-16	1	-71.5	-220.0	160.5	-1339.5
2021-07-09	2021-07-19	1	-216.0	-436.0	160.5	-1339.5
2021-07-09	2021-07-20	1	-132.0	-568.0	160.5	-1339.5
2021-07-09	2021-07-21	1	194.0	-374.0	160.5	-1339.5
2021-07-09	2021-07-22	1	88.5	-285.5	160.5	-1339.5
2021-07-09	2021-07-23	1	71.0	-214.5	160.5	-1339.5
2021-07-09	2021-07-26	1	3.0	-211.5	160.5	-1339.5
2021-07-09	2021-07-27	1	89.5	-122.0	160.5	-1339.5
2021-07-09	2021-07-28	1	82.0	-40.0	160.5	-1339.5
2021-07-09	2021-07-29	1	63.5	23.5	160.5	-1339.5
2021-07-09	2021-07-30	1	227.5	251.0	251.0	-1249.0
2021-07-09	2021-08-02	1	-85.5	165.5	312.5	-1187.5
2021-07-09	2021-08-03	1	163.0	328.5	328.5	-1171.5
2021-07-09	2021-08-04	1	1.5	330.0	330.0	-1170.0
2021-07-09	2021-08-05	1	21.0	351.0	383.0	-1117.0
2021-07-09	2021-08-06	1	-97.0	254.0	383.0	-1117.0
2021-07-09	2021-08-09	1	154.5	408.5	408.5	-1091.5
2021-07-09	2021-08-10	1	-55.0	353.5	408.5	-1091.5
2021-07-09	2021-08-11	1	167.5	521.0	521.0	-979.0
2021-07-09	2021-08-12	1	-58.0	463.0	529.5	-970.5
2021-07-09	2021-08-13	1	-32.0	431.0	529.5	-970.5
2021-07-09	2021-08-16	1	8.0	439.0	529.5	-970.5
2021-07-09	2021-08-17	1	7.5	446.5	529.5	-970.5
2021-07-09	2021-08-18	1	-15.0	431.5	529.5	-970.5
2021-07-09	2021-08-19	1	-13.0	418.5	529.5	-970.5
2021-07-09	2021-08-20	1	-27.5	391.0	529.5	-970.5
2021-07-09	2021-08-23	1	91.0	482.0	529.5	-970.5
2021-07-09	2021-08-24	1	45.5	527.5	562.0	-938.0
2021-07-09	2021-08-25	1	18.5	546.0	562.0	-938.0
2021-07-09	2021-08-26	1	-137.5	408.5	562.0	-938.0
2021-07-09	2021-08-27	1	-55.0	353.5	562.0	-938.0
2021-07-09	2021-08-30	1	264.5	618.0	618.0	-882.0
2021-07-09	2021-08-31	1	-94.0	524.0	626.5	-873.5
2021-07-09	2021-09-01	1	42.5	566.5	669.0	-831.0
2021-07-09	2021-09-02	1	52.5	619.0	669.0	-831.0
2021-07-09	2021-09-03	1	64.0	683.0	683.0	-817.0
2021-07-09	2021-09-06	1	23.0	706.0	706.0	-794.0
2021-07-09	2021-09-07	1	16.0	722.0	750.0	-750.0
2021-07-09	2021-09-08	1	53.0	775.0	775.0	-725.0
