Date	Quantity of positions	Volume	P.L	Average P.L	Comission	Gross	Net	Open	Hi	Low	Close
13.06.2023	5	5.00	94.50	18.90	0.00	23 776.50	23 776.50	23 682.00	23 776.50	23 682.00	23 776.50
14.06.2023	6	6.00	30.50	5.08	0.00	23 807.00	23 807.00	23 776.50	23 809.00	23 759.00	23 807.00
15.06.2023	1	1.00	-49.50	-49.50	0.00	23 757.50	23 757.50	23 807.00	23 807.00	23 757.50	23 757.50
16.06.2023	3	3.00	96.50	32.17	0.00	23 854.00	23 854.00	23 757.50	23 854.00	23 730.00	23 854.00
19.06.2023	3	3.00	-14.00	-4.67	0.00	23 840.00	23 840.00	23 854.00	23 869.50	23 831.00	23 840.00
20.06.2023	4	4.00	-39.00	-9.75	0.00	23 801.00	23 801.00	23 840.00	23 840.00	23 709.00	23 801.00
21.06.2023	4	4.00	-123.50	-30.88	0.00	23 677.50	23 677.50	23 801.00	23 801.00	23 677.50	23 677.50
22.06.2023	3	3.00	-66.00	-22.00	0.00	23 611.50	23 611.50	23 677.50	23 706.50	23 611.50	23 611.50
23.06.2023	3	3.00	-118.00	-39.33	0.00	23 493.50	23 493.50	23 611.50	23 611.50	23 493.50	23 493.50
26.06.2023	2	2.00	-66.00	-33.00	0.00	23 427.50	23 427.50	23 493.50	23 521.00	23 427.50	23 427.50
27.06.2023	5	5.00	-73.50	-14.70	0.00	23 354.00	23 354.00	23 427.50	23 427.50	23 354.00	23 354.00
28.06.2023	6	6.00	-250.00	-41.67	0.00	23 104.00	23 104.00	23 354.00	23 354.00	23 104.00	23 104.00
29.06.2023	4	4.00	52.00	13.00	0.00	23 156.00	23 156.00	23 104.00	23 156.00	23 093.50	23 156.00
30.06.2023	5	5.00	221.00	44.20	0.00	23 377.00	23 377.00	23 156.00	23 377.00	23 140.50	23 377.00
03.07.2023	5	5.00	96.50	19.30	0.00	23 473.50	23 473.50	23 377.00	23 473.50	23 348.50	23 473.50
04.07.2023	4	4.00	-1.00	-0.25	0.00	23 472.50	23 472.50	23 473.50	23 473.50	23 425.50	23 472.50
05.07.2023	3	3.00	-99.00	-33.00	0.00	23 373.50	23 373.50	23 472.50	23 472.50	23 373.50	23 373.50
06.07.2023	6	6.00	-0.50	-0.08	0.00	23 373.00	23 373.00	23 373.50	23 378.00	23 248.50	23 373.00
07.07.2023	1	1.00	-26.50	-26.50	0.00	23 346.50	23 346.50	23 373.00	23 373.00	23 346.50	23 346.50
10.07.2023	3	3.00	-64.00	-21.33	0.00	23 282.50	23 282.50	23 346.50	23 346.50	23 282.50	23 282.50
