Date	P.L
16.06.2022	-361.5
17.06.2022	587
20.06.2022	-23
21.06.2022	300.5
22.06.2022	-10.5
23.06.2022	318.5
24.06.2022	517.5
27.06.2022	-246.5
28.06.2022	-23.5
29.06.2022	-469
30.06.2022	-256.5
01.07.2022	176.5
04.07.2022	13.5
05.07.2022	255
06.07.2022	398.5
07.07.2022	268
08.07.2022	25
11.07.2022	-277.5
12.07.2022	-130
13.07.2022	-57.5
14.07.2022	211
15.07.2022	156.5
18.07.2022	-154
19.07.2022	124.5
20.07.2022	-175
21.07.2022	148
22.07.2022	34.5
25.07.2022	-57
26.07.2022	-112
27.07.2022	130
28.07.2022	358
29.07.2022	183
01.08.2022	-173
02.08.2022	274.5
03.08.2022	467
04.08.2022	-67
05.08.2022	85
08.08.2022	256.5
09.08.2022	31.5
10.08.2022	27
11.08.2022	-181
12.08.2022	225
15.08.2022	194
16.08.2022	171.5
17.08.2022	98
18.08.2022	92
19.08.2022	-179
22.08.2022	-162
23.08.2022	-10.5
24.08.2022	-94
25.08.2022	378.5
26.08.2022	-129
29.08.2022	27
30.08.2022	130.5
31.08.2022	-148
01.09.2022	-0.5
02.09.2022	114
05.09.2022	-217
06.09.2022	31.5
07.09.2022	356.5
08.09.2022	138
09.09.2022	228.5
12.09.2022	249.5
13.09.2022	29.5
14.09.2022	77.5
15.09.2022	-8
16.09.2022	29.5
19.09.2022	-9
20.09.2022	-9.5
21.09.2022	-777
22.09.2022	133
23.09.2022	-231
26.09.2022	430.5
27.09.2022	226.5
28.09.2022	448
29.09.2022	-200
30.09.2022	-240
03.10.2022	197
04.10.2022	363.5
05.10.2022	-39.5
06.10.2022	-30
07.10.2022	-341.5
10.10.2022	34.5
11.10.2022	-83.5
12.10.2022	-11.5
13.10.2022	566.5
14.10.2022	238.5
17.10.2022	180.5
18.10.2022	71
19.10.2022	-175
20.10.2022	118.5
21.10.2022	246.5
24.10.2022	-79.5
25.10.2022	329
26.10.2022	-16.5
27.10.2022	-485
28.10.2022	317
31.10.2022	-79.5
01.11.2022	-86.5
02.11.2022	-217
03.11.2022	-340
04.11.2022	230.5
07.11.2022	252
08.11.2022	278
09.11.2022	-435
10.11.2022	-54
11.11.2022	169.5
14.11.2022	176
15.11.2022	147.5
16.11.2022	-151
17.11.2022	326
18.11.2022	190
21.11.2022	-211.5
22.11.2022	260.5
23.11.2022	234
24.11.2022	39
25.11.2022	-155.5
28.11.2022	113.5
29.11.2022	-203
30.11.2022	322.5
01.12.2022	25
02.12.2022	79.5
05.12.2022	-247
06.12.2022	-132
07.12.2022	-124
08.12.2022	195.5
09.12.2022	132
12.12.2022	58.5
13.12.2022	-131.5
14.12.2022	-79
15.12.2022	-7
16.12.2022	124.5
19.12.2022	-121.5
20.12.2022	-46
21.12.2022	163
22.12.2022	-4
23.12.2022	-27.5
27.12.2022	-18
28.12.2022	-127.5
29.12.2022	250
30.12.2022	-323.5
03.01.2023	303.5
04.01.2023	62.5
05.01.2023	-36.5
06.01.2023	677
09.01.2023	110
10.01.2023	-1.5
11.01.2023	36
12.01.2023	80
13.01.2023	-19.5
16.01.2023	92.5
17.01.2023	-91
18.01.2023	48.5
19.01.2023	40
20.01.2023	336
23.01.2023	-78.5
24.01.2023	-31.5
25.01.2023	305
26.01.2023	189
27.01.2023	174
30.01.2023	-217
31.01.2023	152.5
01.02.2023	-28.5
02.02.2023	359.5
03.02.2023	369
06.02.2023	-345
07.02.2023	582
08.02.2023	-204
09.02.2023	67.5
10.02.2023	257
13.02.2023	247
14.02.2023	-118.5
15.02.2023	68.5
16.02.2023	-59
17.02.2023	-110.5
20.02.2023	27.5
21.02.2023	-316
22.02.2023	-132.5
23.02.2023	248
24.02.2023	-35.5
27.02.2023	32.5
28.02.2023	83.5
01.03.2023	-68.5
02.03.2023	60
03.03.2023	236.5
06.03.2023	-89
07.03.2023	-15.5
08.03.2023	-24
09.03.2023	282.5
10.03.2023	-390
13.03.2023	-21
14.03.2023	304.5
15.03.2023	93
16.03.2023	267
17.03.2023	-30
20.03.2023	72.5
21.03.2023	290.5
22.03.2023	-156.5
23.03.2023	-6
24.03.2023	49.5
27.03.2023	74
28.03.2023	-4.5
29.03.2023	249
30.03.2023	48
31.03.2023	200
03.04.2023	28.5
04.04.2023	-156
05.04.2023	-51
06.04.2023	80.5
07.04.2023	8.5
10.04.2023	95
11.04.2023	-109.5
12.04.2023	21.5
13.04.2023	315
14.04.2023	121.5
17.04.2023	-68
18.04.2023	-179
19.04.2023	-137
20.04.2023	-15.5
21.04.2023	-108.5
24.04.2023	129
25.04.2023	-188.5
26.04.2023	-207.5
27.04.2023	88
28.04.2023	-15.5
01.05.2023	-74
02.05.2023	-173
03.05.2023	212.5
04.05.2023	-148
05.05.2023	249.5
08.05.2023	-4.5
09.05.2023	-109.5
10.05.2023	13.5
11.05.2023	-172
12.05.2023	-119.5
15.05.2023	16
16.05.2023	-205.5
17.05.2023	31.5
18.05.2023	184
19.05.2023	-131
22.05.2023	138.5
23.05.2023	-51.5
24.05.2023	41.5
25.05.2023	188
26.05.2023	369
29.05.2023	-135
30.05.2023	-108
31.05.2023	-11
01.06.2023	57
02.06.2023	-173
05.06.2023	40.5
06.06.2023	-202
07.06.2023	26
08.06.2023	102
09.06.2023	86.5
12.06.2023	226.5
13.06.2023	-16.5
14.06.2023	122
15.06.2023	-21
16.06.2023	161
19.06.2023	-62
20.06.2023	-40.5
21.06.2023	9
22.06.2023	15.5
23.06.2023	-3.5
26.06.2023	137.5
27.06.2023	142
28.06.2023	-345.5
29.06.2023	-49.5
30.06.2023	221
03.07.2023	131
04.07.2023	-12.5
05.07.2023	-116.5
06.07.2023	-8.5
07.07.2023	165.5
10.07.2023	94
11.07.2023	-8.5
12.07.2023	2.5
13.07.2023	178.5
14.07.2023	183.5
17.07.2023	165.5
18.07.2023	232
19.07.2023	-54.5
20.07.2023	-208.5
21.07.2023	73.5
24.07.2023	-275
25.07.2023	180.5
26.07.2023	-104
27.07.2023	83.5
28.07.2023	111.5
31.07.2023	-264.5
01.08.2023	-36
02.08.2023	39
03.08.2023	-16
04.08.2023	-185.5
07.08.2023	-10.5
08.08.2023	38.5
09.08.2023	34
10.08.2023	80.5
11.08.2023	-231.5
14.08.2023	181
15.08.2023	-160.5
16.08.2023	-221
17.08.2023	252
18.08.2023	-96.5
21.08.2023	378
22.08.2023	-93
23.08.2023	268
24.08.2023	-357
25.08.2023	396.5
28.08.2023	172.5
29.08.2023	19
30.08.2023	125
31.08.2023	61
01.09.2023	98.5
04.09.2023	63.5
05.09.2023	14
06.09.2023	-5.5
07.09.2023	-214
08.09.2023	-47.5
11.09.2023	181.5
12.09.2023	52.5
13.09.2023	72
14.09.2023	-67.5
15.09.2023	-37.5
18.09.2023	11.5
19.09.2023	71
20.09.2023	-401.5
21.09.2023	-143.5
22.09.2023	-44.5
25.09.2023	203.5
26.09.2023	-246
27.09.2023	164
28.09.2023	-18.5
29.09.2023	56.5
02.10.2023	-59
03.10.2023	-180.5
04.10.2023	211.5
05.10.2023	-42.5
06.10.2023	143
09.10.2023	228.5
10.10.2023	-98.5
11.10.2023	-25
12.10.2023	-45
13.10.2023	-123
16.10.2023	-158
17.10.2023	-165.5
18.10.2023	-448.5
19.10.2023	-140
20.10.2023	-267.5
23.10.2023	-243
24.10.2023	105
25.10.2023	-505
26.10.2023	-126
27.10.2023	107.5
30.10.2023	-129
31.10.2023	119
01.11.2023	26.5
02.11.2023	120.5
03.11.2023	166
06.11.2023	-83.5
07.11.2023	-4.5
08.11.2023	-76.5
09.11.2023	-80
10.11.2023	233.5
13.11.2023	-19.5
14.11.2023	-129.5
15.11.2023	-4.5
16.11.2023	35
17.11.2023	85.5
20.11.2023	293.5
21.11.2023	-97.5
22.11.2023	142
23.11.2023	-23
24.11.2023	-142.5
27.11.2023	12
28.11.2023	-78.5
29.11.2023	117.5
30.11.2023	-57.5
01.12.2023	-41
04.12.2023	21
05.12.2023	65
06.12.2023	55.5
07.12.2023	31
08.12.2023	195.5
11.12.2023	223
12.12.2023	206
13.12.2023	-55.5
14.12.2023	-295.5
15.12.2023	-29
18.12.2023	168.5
19.12.2023	125.5
20.12.2023	-53
21.12.2023	-67.5
22.12.2023	-47
26.12.2023	23
27.12.2023	35.5
28.12.2023	-53.5
29.12.2023	139
02.01.2024	100.5
03.01.2024	-115.5
04.01.2024	-73.5
05.01.2024	-159.5
08.01.2024	119
09.01.2024	-181
10.01.2024	84
11.01.2024	260
12.01.2024	-72.5
15.01.2024	-8
16.01.2024	-113.5
17.01.2024	29
18.01.2024	251
19.01.2024	45.5
22.01.2024	-105.5
23.01.2024	-21.5
24.01.2024	255.5
25.01.2024	48.5
26.01.2024	-121.5
29.01.2024	133.5
30.01.2024	-106.5
31.01.2024	60
01.02.2024	-11
02.02.2024	164
05.02.2024	220.5
06.02.2024	-57
07.02.2024	249.5
08.02.2024	-125.5
09.02.2024	201
12.02.2024	-50
13.02.2024	14
14.02.2024	40
15.02.2024	43.5
16.02.2024	31.5
19.02.2024	-82
20.02.2024	-168
21.02.2024	-186.5
22.02.2024	351
23.02.2024	9
26.02.2024	-97
27.02.2024	-90
28.02.2024	-161.5
29.02.2024	387
01.03.2024	9
04.03.2024	19.5
05.03.2024	-324.5
06.03.2024	335.5
07.03.2024	-21.5
08.03.2024	30
11.03.2024	-585.5
12.03.2024	-101.5
13.03.2024	-57
14.03.2024	-29
15.03.2024	61
18.03.2024	81.5
19.03.2024	0.5
