Date	Quantity of positions	Volume	P.L	Average P.L	Comission	Gross	Net	Open	Hi	Low	Close
06.10.2020	5	5.00	-302.00	-60.40	0.00	7 106.50	7 106.50	7 408.50	7 408.50	7 106.50	7 106.50
07.10.2020	5	5.00	220.50	44.10	0.00	7 327.00	7 327.00	7 106.50	7 366.00	7 106.50	7 327.00
08.10.2020	4	4.00	13.50	3.38	0.00	7 340.50	7 340.50	7 327.00	7 434.00	7 327.00	7 340.50
09.10.2020	8	8.00	190.00	23.75	0.00	7 530.50	7 530.50	7 340.50	7 530.50	7 299.50	7 530.50
12.10.2020	6	6.00	78.00	13.00	0.00	7 608.50	7 608.50	7 530.50	7 608.50	7 486.00	7 608.50
13.10.2020	5	5.00	-63.50	-12.70	0.00	7 545.00	7 545.00	7 608.50	7 631.00	7 493.50	7 545.00
14.10.2020	4	4.00	118.50	29.63	0.00	7 663.50	7 663.50	7 545.00	7 663.50	7 525.00	7 663.50
15.10.2020	5	5.00	279.50	55.90	0.00	7 943.00	7 943.00	7 663.50	7 943.00	7 571.00	7 943.00
16.10.2020	6	6.00	-10.50	-1.75	0.00	7 932.50	7 932.50	7 943.00	8 028.00	7 932.50	7 932.50
19.10.2020	6	6.00	-250.50	-41.75	0.00	7 682.00	7 682.00	7 932.50	7 972.00	7 682.00	7 682.00
20.10.2020	6	6.00	-115.50	-19.25	0.00	7 566.50	7 566.50	7 682.00	7 778.00	7 566.50	7 566.50
21.10.2020	5	5.00	85.00	17.00	0.00	7 651.50	7 651.50	7 566.50	7 867.50	7 566.50	7 651.50
22.10.2020	5	5.00	103.00	20.60	0.00	7 754.50	7 754.50	7 651.50	7 754.50	7 566.00	7 754.50
23.10.2020	6	6.00	39.50	6.58	0.00	7 794.00	7 794.00	7 754.50	7 805.50	7 640.50	7 794.00
26.10.2020	3	3.00	291.50	97.17	0.00	8 085.50	8 085.50	7 794.00	8 085.50	7 745.00	8 085.50
27.10.2020	5	5.00	83.00	16.60	0.00	8 168.50	8 168.50	8 085.50	8 201.00	8 085.50	8 168.50
28.10.2020	5	5.00	-257.00	-51.40	0.00	7 911.50	7 911.50	8 168.50	8 168.50	7 911.50	7 911.50
29.10.2020	5	5.00	255.00	51.00	0.00	8 166.50	8 166.50	7 911.50	8 166.50	7 911.50	8 166.50
30.10.2020	7	7.00	-360.00	-51.43	0.00	7 806.50	7 806.50	8 166.50	8 200.00	7 806.50	7 806.50
02.11.2020	6	6.00	156.00	26.00	0.00	7 962.50	7 962.50	7 806.50	8 025.00	7 806.50	7 962.50
03.11.2020	6	6.00	18.50	3.08	0.00	7 981.00	7 981.00	7 962.50	8 032.50	7 908.00	7 981.00
04.11.2020	5	5.00	670.50	134.10	0.00	8 651.50	8 651.50	7 981.00	8 671.50	7 981.00	8 651.50
05.11.2020	7	7.00	193.50	27.64	0.00	8 845.00	8 845.00	8 651.50	8 889.00	8 555.50	8 845.00
06.11.2020	7	7.00	30.00	4.29	0.00	8 875.00	8 875.00	8 845.00	8 942.00	8 651.50	8 875.00
09.11.2020	6	6.00	-465.50	-77.58	0.00	8 409.50	8 409.50	8 875.00	8 966.50	8 409.50	8 409.50
10.11.2020	5	5.00	-175.00	-35.00	0.00	8 234.50	8 234.50	8 409.50	8 409.50	8 163.50	8 234.50
11.11.2020	6	6.00	57.50	9.58	0.00	8 292.00	8 292.00	8 234.50	8 338.50	8 218.00	8 292.00
12.11.2020	6	6.00	75.50	12.58	0.00	8 367.50	8 367.50	8 292.00	8 464.00	8 177.50	8 367.50
13.11.2020	7	7.00	169.00	24.14	0.00	8 536.50	8 536.50	8 367.50	8 548.00	8 367.50	8 536.50
16.11.2020	7	7.00	-294.00	-42.00	0.00	8 242.50	8 242.50	8 536.50	8 536.50	8 242.50	8 242.50
