Run_Start	Date	Contracts	PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2022-08-11	2022-08-31	1	-148.0	413.0	0	-1500
2022-08-11	2022-09-01	1	-0.5	412.5	0	-1500
2022-08-11	2022-09-02	1	114.0	526.5	0	-1500
2022-08-11	2022-09-05	1	-217.0	309.5	0	-1500
2022-08-11	2022-09-06	1	31.5	341.0	0	-1500
2022-08-11	2022-09-07	1	356.5	697.5	0	-1500
2022-08-11	2022-09-08	1	138.0	835.5	0	-1500
2022-08-11	2022-09-09	1	228.5	1064.0	0	-1500
2022-08-11	2022-09-12	1	249.5	1313.5	0	-1500
2022-08-11	2022-09-13	1	29.5	1343.0	0	-1500
2022-08-11	2022-09-14	1	77.5	1420.5	0	-1500
2022-08-11	2022-09-15	1	-8.0	1412.5	0	-1500
2022-08-11	2022-09-16	1	29.5	1442.0	0	-1500
2022-08-11	2022-09-19	1	-9.0	1433.0	0	-1500
2022-08-11	2022-09-20	1	-9.5	1423.5	0	-1500
2022-08-11	2022-09-21	1	-777.0	646.5	0	-1500
2022-08-11	2022-09-22	1	133.0	779.5	0	-1500
2022-08-11	2022-09-23	1	-231.0	548.5	0	-1500
2022-08-11	2022-09-26	1	430.5	979.0	0	-1500
2022-08-11	2022-09-27	1	226.5	1205.5	0	-1500
2022-08-11	2022-09-28	1	448.0	1653.5	0	-1500
2022-08-12	2022-08-12	1	225.0	225.0	0	-1500
2022-08-12	2022-08-15	1	194.0	419.0	0	-1500
2022-08-12	2022-08-16	1	171.5	590.5	0	-1500
2022-08-12	2022-08-17	1	98.0	688.5	0	-1500
2022-08-12	2022-08-18	1	92.0	780.5	0	-1500
2022-08-12	2022-08-19	1	-179.0	601.5	0	-1500
2022-08-12	2022-08-22	1	-162.0	439.5	0	-1500
2022-08-12	2022-08-23	1	-10.5	429.0	0	-1500
2022-08-12	2022-08-24	1	-94.0	335.0	0	-1500
2022-08-12	2022-08-25	1	378.5	713.5	0	-1500
2022-08-12	2022-08-26	1	-129.0	584.5	0	-1500
2022-08-12	2022-08-29	1	27.0	611.5	0	-1500
2022-08-12	2022-08-30	1	130.5	742.0	0	-1500
2022-08-12	2022-08-31	1	-148.0	594.0	0	-1500
2022-08-12	2022-09-01	1	-0.5	593.5	0	-1500
2022-08-12	2022-09-02	1	114.0	707.5	0	-1500
2022-08-12	2022-09-05	1	-217.0	490.5	0	-1500
2022-08-12	2022-09-06	1	31.5	522.0	0	-1500
2022-08-12	2022-09-07	1	356.5	878.5	0	-1500
2022-08-12	2022-09-08	1	138.0	1016.5	0	-1500
2022-08-12	2022-09-09	1	228.5	1245.0	0	-1500
2022-08-12	2022-09-12	1	249.5	1494.5	0	-1500
2022-08-12	2022-09-13	1	29.5	1524.0	0	-1500
2022-08-15	2022-08-15	1	194.0	194.0	0	-1500
2022-08-15	2022-08-16	1	171.5	365.5	0	-1500
2022-08-15	2022-08-17	1	98.0	463.5	0	-1500
2022-08-15	2022-08-18	1	92.0	555.5	0	-1500
2022-08-15	2022-08-19	1	-179.0	376.5	0	-1500
2022-08-15	2022-08-22	1	-162.0	214.5	0	-1500
2022-08-15	2022-08-23	1	-10.5	204.0	0	-1500
2022-08-15	2022-08-24	1	-94.0	110.0	0	-1500
2022-08-15	2022-08-25	1	378.5	488.5	0	-1500
2022-08-15	2022-08-26	1	-129.0	359.5	0	-1500
2022-08-15	2022-08-29	1	27.0	386.5	0	-1500
2022-08-15	2022-08-30	1	130.5	517.0	0	-1500
2022-08-15	2022-08-31	1	-148.0	369.0	0	-1500
2022-08-15	2022-09-01	1	-0.5	368.5	0	-1500
2022-08-15	2022-09-02	1	114.0	482.5	0	-1500
2022-08-15	2022-09-05	1	-217.0	265.5	0	-1500
2022-08-15	2022-09-06	1	31.5	297.0	0	-1500
2022-08-15	2022-09-07	1	356.5	653.5	0	-1500
2022-08-15	2022-09-08	1	138.0	791.5	0	-1500
2022-08-15	2022-09-09	1	228.5	1020.0	0	-1500
2022-08-15	2022-09-12	1	249.5	1269.5	0	-1500
2022-08-15	2022-09-13	1	29.5	1299.0	0	-1500
2022-08-15	2022-09-14	1	77.5	1376.5	0	-1500
2022-08-15	2022-09-15	1	-8.0	1368.5	0	-1500
2022-08-15	2022-09-16	1	29.5	1398.0	0	-1500
2022-08-15	2022-09-19	1	-9.0	1389.0	0	-1500
2022-08-15	2022-09-20	1	-9.5	1379.5	0	-1500
2022-08-15	2022-09-21	1	-777.0	602.5	0	-1500
2022-08-15	2022-09-22	1	133.0	735.5	0	-1500
2022-08-15	2022-09-23	1	-231.0	504.5	0	-1500
2022-08-15	2022-09-26	1	430.5	935.0	0	-1500
2022-08-15	2022-09-27	1	226.5	1161.5	0	-1500
2022-08-15	2022-09-28	1	448.0	1609.5	0	-1500
2022-08-16	2022-08-16	1	171.5	171.5	0	-1500
2022-08-16	2022-08-17	1	98.0	269.5	0	-1500
2022-08-16	2022-08-18	1	92.0	361.5	0	-1500
2022-08-16	2022-08-19	1	-179.0	182.5	0	-1500
2022-08-16	2022-08-22	1	-162.0	20.5	0	-1500
2022-08-16	2022-08-23	1	-10.5	10.0	0	-1500
2022-08-16	2022-08-24	1	-94.0	-84.0	0	-1500
2022-08-16	2022-08-25	1	378.5	294.5	0	-1500
2022-08-16	2022-08-26	1	-129.0	165.5	0	-1500
2022-08-16	2022-08-29	1	27.0	192.5	0	-1500
2022-08-16	2022-08-30	1	130.5	323.0	0	-1500
2022-08-16	2022-08-31	1	-148.0	175.0	0	-1500
2022-08-16	2022-09-01	1	-0.5	174.5	0	-1500
2022-08-16	2022-09-02	1	114.0	288.5	0	-1500
2022-08-16	2022-09-05	1	-217.0	71.5	0	-1500
2022-08-16	2022-09-06	1	31.5	103.0	0	-1500
2022-08-16	2022-09-07	1	356.5	459.5	0	-1500
2022-08-16	2022-09-08	1	138.0	597.5	0	-1500
2022-08-16	2022-09-09	1	228.5	826.0	0	-1500
2022-08-16	2022-09-12	1	249.5	1075.5	0	-1500
2022-08-16	2022-09-13	1	29.5	1105.0	0	-1500
2022-08-16	2022-09-14	1	77.5	1182.5	0	-1500
2022-08-16	2022-09-15	1	-8.0	1174.5	0	-1500
2022-08-16	2022-09-16	1	29.5	1204.0	0	-1500
2022-08-16	2022-09-19	1	-9.0	1195.0	0	-1500
2022-08-16	2022-09-20	1	-9.5	1185.5	0	-1500
2022-08-16	2022-09-21	1	-777.0	408.5	0	-1500
2022-08-16	2022-09-22	1	133.0	541.5	0	-1500
2022-08-16	2022-09-23	1	-231.0	310.5	0	-1500
2022-08-16	2022-09-26	1	430.5	741.0	0	-1500
2022-08-16	2022-09-27	1	226.5	967.5	0	-1500
2022-08-16	2022-09-28	1	448.0	1415.5	0	-1500
2022-08-16	2022-09-29	1	-200.0	1215.5	0	-1500
2022-08-16	2022-09-30	1	-240.0	975.5	0	-1500
2022-08-16	2022-10-03	1	197.0	1172.5	0	-1500
2022-08-16	2022-10-04	1	363.5	1536.0	0	-1500
2022-08-17	2022-08-17	1	98.0	98.0	0	-1500
2022-08-17	2022-08-18	1	92.0	190.0	0	-1500
2022-08-17	2022-08-19	1	-179.0	11.0	0	-1500
2022-08-17	2022-08-22	1	-162.0	-151.0	0	-1500
2022-08-17	2022-08-23	1	-10.5	-161.5	0	-1500
2022-08-17	2022-08-24	1	-94.0	-255.5	0	-1500
2022-08-17	2022-08-25	1	378.5	123.0	0	-1500
2022-08-17	2022-08-26	1	-129.0	-6.0	0	-1500
2022-08-17	2022-08-29	1	27.0	21.0	0	-1500
2022-08-17	2022-08-30	1	130.5	151.5	0	-1500
2022-08-17	2022-08-31	1	-148.0	3.5	0	-1500
2022-08-17	2022-09-01	1	-0.5	3.0	0	-1500
2022-08-17	2022-09-02	1	114.0	117.0	0	-1500
2022-08-17	2022-09-05	1	-217.0	-100.0	0	-1500
2022-08-17	2022-09-06	1	31.5	-68.5	0	-1500
2022-08-17	2022-09-07	1	356.5	288.0	0	-1500
2022-08-17	2022-09-08	1	138.0	426.0	0	-1500
2022-08-17	2022-09-09	1	228.5	654.5	0	-1500
2022-08-17	2022-09-12	1	249.5	904.0	0	-1500
2022-08-17	2022-09-13	1	29.5	933.5	0	-1500
2022-08-17	2022-09-14	1	77.5	1011.0	0	-1500
2022-08-17	2022-09-15	1	-8.0	1003.0	0	-1500
2022-08-17	2022-09-16	1	29.5	1032.5	0	-1500
2022-08-17	2022-09-19	1	-9.0	1023.5	0	-1500
2022-08-17	2022-09-20	1	-9.5	1014.0	0	-1500
2022-08-17	2022-09-21	1	-777.0	237.0	0	-1500
2022-08-17	2022-09-22	1	133.0	370.0	0	-1500
2022-08-17	2022-09-23	1	-231.0	139.0	0	-1500
2022-08-17	2022-09-26	1	430.5	569.5	0	-1500
2022-08-17	2022-09-27	1	226.5	796.0	0	-1500
2022-08-17	2022-09-28	1	448.0	1244.0	0	-1500
2022-08-17	2022-09-29	1	-200.0	1044.0	0	-1500
2022-08-17	2022-09-30	1	-240.0	804.0	0	-1500
2022-08-17	2022-10-03	1	197.0	1001.0	0	-1500
2022-08-17	2022-10-04	1	363.5	1364.5	0	-1500
2022-08-17	2022-10-05	1	-39.5	1325.0	0	-1500
2022-08-17	2022-10-06	1	-30.0	1295.0	0	-1500
2022-08-17	2022-10-07	1	-341.5	953.5	0	-1500
2022-08-17	2022-10-10	1	34.5	988.0	0	-1500
2022-08-17	2022-10-11	1	-83.5	904.5	0	-1500
2022-08-17	2022-10-12	1	-11.5	893.0	0	-1500
2022-08-17	2022-10-13	1	566.5	1459.5	0	-1500
2022-08-17	2022-10-14	1	238.5	1698.0	0	-1500
2022-08-18	2022-08-18	1	92.0	92.0	0	-1500
2022-08-18	2022-08-19	1	-179.0	-87.0	0	-1500
2022-08-18	2022-08-22	1	-162.0	-249.0	0	-1500
2022-08-18	2022-08-23	1	-10.5	-259.5	0	-1500
2022-08-18	2022-08-24	1	-94.0	-353.5	0	-1500
2022-08-18	2022-08-25	1	378.5	25.0	0	-1500
2022-08-18	2022-08-26	1	-129.0	-104.0	0	-1500
2022-08-18	2022-08-29	1	27.0	-77.0	0	-1500
2022-08-18	2022-08-30	1	130.5	53.5	0	-1500
2022-08-18	2022-08-31	1	-148.0	-94.5	0	-1500
2022-08-18	2022-09-01	1	-0.5	-95.0	0	-1500
2022-08-18	2022-09-02	1	114.0	19.0	0	-1500
2022-08-18	2022-09-05	1	-217.0	-198.0	0	-1500
2022-08-18	2022-09-06	1	31.5	-166.5	0	-1500
2022-08-18	2022-09-07	1	356.5	190.0	0	-1500
2022-08-18	2022-09-08	1	138.0	328.0	0	-1500
2022-08-18	2022-09-09	1	228.5	556.5	0	-1500
2022-08-18	2022-09-12	1	249.5	806.0	0	-1500
2022-08-18	2022-09-13	1	29.5	835.5	0	-1500
2022-08-18	2022-09-14	1	77.5	913.0	0	-1500
2022-08-18	2022-09-15	1	-8.0	905.0	0	-1500
2022-08-18	2022-09-16	1	29.5	934.5	0	-1500
2022-08-18	2022-09-19	1	-9.0	925.5	0	-1500
2022-08-18	2022-09-20	1	-9.5	916.0	0	-1500
2022-08-18	2022-09-21	1	-777.0	139.0	0	-1500
2022-08-18	2022-09-22	1	133.0	272.0	0	-1500
2022-08-18	2022-09-23	1	-231.0	41.0	0	-1500
2022-08-18	2022-09-26	1	430.5	471.5	0	-1500
2022-08-18	2022-09-27	1	226.5	698.0	0	-1500
