Run_Start	Date	Contracts	PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2019-05-24	2019-07-05	3	-76.5	1198.5	1284.0	-216.0
2019-05-24	2019-07-08	3	-12.0	1186.5	1284.0	-216.0
2019-05-24	2019-07-09	3	-115.5	1071.0	1284.0	-216.0
2019-05-24	2019-07-10	3	-108.0	963.0	1284.0	-216.0
2019-05-24	2019-07-11	3	103.5	1066.5	1284.0	-216.0
2019-05-24	2019-07-12	3	55.5	1122.0	1284.0	-216.0
2019-05-24	2019-07-15	3	100.5	1222.5	1284.0	-216.0
2019-05-24	2019-07-16	3	18.0	1240.5	1284.0	-216.0
2019-05-24	2019-07-17	3	49.5	1290.0	1284.0	-216.0
2019-05-24	2019-07-18	3	22.5	1312.5	1290.0	-210.0
2019-05-24	2019-07-19	3	91.5	1404.0	1312.5	-187.5
2019-05-24	2019-07-22	3	97.5	1501.5	1404.0	-96.0
2019-05-27	2019-05-27	3	100.5	100.5	0.0	-1500.0
2019-05-27	2019-05-28	3	82.5	183.0	100.5	-1399.5
2019-05-27	2019-05-29	3	-73.5	109.5	183.0	-1317.0
2019-05-27	2019-05-30	3	142.5	252.0	183.0	-1317.0
2019-05-27	2019-05-31	3	-151.5	100.5	252.0	-1248.0
2019-05-27	2019-06-03	3	15.0	115.5	252.0	-1248.0
2019-05-27	2019-06-04	3	-82.5	33.0	252.0	-1248.0
2019-05-27	2019-06-05	3	45.0	78.0	252.0	-1248.0
2019-05-27	2019-06-06	3	217.5	295.5	252.0	-1248.0
2019-05-27	2019-06-07	3	127.5	423.0	295.5	-1204.5
2019-05-27	2019-06-10	3	-79.5	343.5	423.0	-1077.0
2019-05-27	2019-06-11	3	31.5	375.0	423.0	-1077.0
2019-05-27	2019-06-12	3	-136.5	238.5	423.0	-1077.0
2019-05-27	2019-06-13	3	342.0	580.5	423.0	-1077.0
2019-05-27	2019-06-14	3	28.5	609.0	580.5	-919.5
2019-05-27	2019-06-17	3	13.5	622.5	609.0	-891.0
2019-05-27	2019-06-18	3	6.0	628.5	622.5	-877.5
2019-05-27	2019-06-19	3	3.0	631.5	628.5	-871.5
2019-05-27	2019-06-20	3	52.5	684.0	631.5	-868.5
2019-05-27	2019-06-21	3	64.5	748.5	684.0	-816.0
2019-05-27	2019-06-24	3	1.5	750.0	748.5	-751.5
2019-05-27	2019-06-25	3	171.0	921.0	750.0	-750.0
2019-05-27	2019-06-26	3	64.5	985.5	921.0	-579.0
2019-05-27	2019-06-27	3	85.5	1071.0	985.5	-514.5
2019-05-27	2019-06-28	3	126.0	1197.0	1071.0	-429.0
2019-05-27	2019-07-02	3	19.5	1216.5	1197.0	-303.0
2019-05-27	2019-07-03	3	-12.0	1204.5	1216.5	-283.5
2019-05-27	2019-07-04	3	3.0	1207.5	1216.5	-283.5
2019-05-27	2019-07-05	3	-76.5	1131.0	1216.5	-283.5
2019-05-27	2019-07-08	3	-12.0	1119.0	1216.5	-283.5
2019-05-27	2019-07-09	3	-115.5	1003.5	1216.5	-283.5
2019-05-27	2019-07-10	3	-108.0	895.5	1216.5	-283.5
2019-05-27	2019-07-11	3	103.5	999.0	1216.5	-283.5
2019-05-27	2019-07-12	3	55.5	1054.5	1216.5	-283.5
2019-05-27	2019-07-15	3	100.5	1155.0	1216.5	-283.5
2019-05-27	2019-07-16	3	18.0	1173.0	1216.5	-283.5
2019-05-27	2019-07-17	3	49.5	1222.5	1216.5	-283.5
2019-05-27	2019-07-18	3	22.5	1245.0	1222.5	-277.5
2019-05-27	2019-07-19	3	91.5	1336.5	1245.0	-255.0
2019-05-27	2019-07-22	3	97.5	1434.0	1336.5	-163.5
2019-05-27	2019-07-23	3	-43.5	1390.5	1434.0	-66.0
2019-05-27	2019-07-24	3	36.0	1426.5	1434.0	-66.0
2019-05-27	2019-07-25	3	-9.0	1417.5	1434.0	-66.0
2019-05-27	2019-07-26	3	51.0	1468.5	1434.0	-66.0
2019-05-27	2019-07-29	3	-18.0	1450.5	1468.5	-31.5
2019-05-27	2019-07-30	3	-58.5	1392.0	1468.5	-31.5
2019-05-27	2019-07-31	3	-100.5	1291.5	1468.5	-31.5
2019-05-27	2019-08-01	3	69.0	1360.5	1468.5	-31.5
2019-05-27	2019-08-02	3	-232.5	1128.0	1468.5	-31.5
2019-05-27	2019-08-05	3	-19.5	1108.5	1468.5	-31.5
2019-05-27	2019-08-06	3	1107.0	2215.5	1468.5	-31.5
2019-05-28	2019-05-28	3	82.5	82.5	0.0	-1500.0
2019-05-28	2019-05-29	3	-73.5	9.0	82.5	-1417.5
2019-05-28	2019-05-30	3	142.5	151.5	82.5	-1417.5
2019-05-28	2019-05-31	3	-151.5	0.0	151.5	-1348.5
2019-05-28	2019-06-03	3	15.0	15.0	151.5	-1348.5
2019-05-28	2019-06-04	3	-82.5	-67.5	151.5	-1348.5
2019-05-28	2019-06-05	3	45.0	-22.5	151.5	-1348.5
2019-05-28	2019-06-06	3	217.5	195.0	151.5	-1348.5
2019-05-28	2019-06-07	3	127.5	322.5	195.0	-1305.0
2019-05-28	2019-06-10	3	-79.5	243.0	322.5	-1177.5
2019-05-28	2019-06-11	3	31.5	274.5	322.5	-1177.5
2019-05-28	2019-06-12	3	-136.5	138.0	322.5	-1177.5
2019-05-28	2019-06-13	3	342.0	480.0	322.5	-1177.5
2019-05-28	2019-06-14	3	28.5	508.5	480.0	-1020.0
2019-05-28	2019-06-17	3	13.5	522.0	508.5	-991.5
2019-05-28	2019-06-18	3	6.0	528.0	522.0	-978.0
2019-05-28	2019-06-19	3	3.0	531.0	528.0	-972.0
2019-05-28	2019-06-20	3	52.5	583.5	531.0	-969.0
2019-05-28	2019-06-21	3	64.5	648.0	583.5	-916.5
2019-05-28	2019-06-24	3	1.5	649.5	648.0	-852.0
2019-05-28	2019-06-25	3	171.0	820.5	649.5	-850.5
2019-05-28	2019-06-26	3	64.5	885.0	820.5	-679.5
2019-05-28	2019-06-27	3	85.5	970.5	885.0	-615.0
2019-05-28	2019-06-28	3	126.0	1096.5	970.5	-529.5
2019-05-28	2019-07-02	3	19.5	1116.0	1096.5	-403.5
2019-05-28	2019-07-03	3	-12.0	1104.0	1116.0	-384.0
2019-05-28	2019-07-04	3	3.0	1107.0	1116.0	-384.0
2019-05-28	2019-07-05	3	-76.5	1030.5	1116.0	-384.0
2019-05-28	2019-07-08	3	-12.0	1018.5	1116.0	-384.0
2019-05-28	2019-07-09	3	-115.5	903.0	1116.0	-384.0
2019-05-28	2019-07-10	3	-108.0	795.0	1116.0	-384.0
2019-05-28	2019-07-11	3	103.5	898.5	1116.0	-384.0
2019-05-28	2019-07-12	3	55.5	954.0	1116.0	-384.0
2019-05-28	2019-07-15	3	100.5	1054.5	1116.0	-384.0
2019-05-28	2019-07-16	3	18.0	1072.5	1116.0	-384.0
2019-05-28	2019-07-17	3	49.5	1122.0	1116.0	-384.0
2019-05-28	2019-07-18	3	22.5	1144.5	1122.0	-378.0
2019-05-28	2019-07-19	3	91.5	1236.0	1144.5	-355.5
2019-05-28	2019-07-22	3	97.5	1333.5	1236.0	-264.0
2019-05-28	2019-07-23	3	-43.5	1290.0	1333.5	-166.5
2019-05-28	2019-07-24	3	36.0	1326.0	1333.5	-166.5
2019-05-28	2019-07-25	3	-9.0	1317.0	1333.5	-166.5
2019-05-28	2019-07-26	3	51.0	1368.0	1333.5	-166.5
2019-05-28	2019-07-29	3	-18.0	1350.0	1368.0	-132.0
2019-05-28	2019-07-30	3	-58.5	1291.5	1368.0	-132.0
2019-05-28	2019-07-31	3	-100.5	1191.0	1368.0	-132.0
2019-05-28	2019-08-01	3	69.0	1260.0	1368.0	-132.0
2019-05-28	2019-08-02	3	-232.5	1027.5	1368.0	-132.0
2019-05-28	2019-08-05	3	-19.5	1008.0	1368.0	-132.0
2019-05-28	2019-08-06	3	1107.0	2115.0	1368.0	-132.0
2019-05-29	2019-05-29	3	-73.5	-73.5	0.0	-1500.0
2019-05-29	2019-05-30	3	142.5	69.0	0.0	-1500.0
2019-05-29	2019-05-31	3	-151.5	-82.5	69.0	-1431.0
2019-05-29	2019-06-03	3	15.0	-67.5	69.0	-1431.0
2019-05-29	2019-06-04	3	-82.5	-150.0	69.0	-1431.0
2019-05-29	2019-06-05	3	45.0	-105.0	69.0	-1431.0
2019-05-29	2019-06-06	3	217.5	112.5	69.0	-1431.0
2019-05-29	2019-06-07	3	127.5	240.0	112.5	-1387.5
2019-05-29	2019-06-10	3	-79.5	160.5	240.0	-1260.0
2019-05-29	2019-06-11	3	31.5	192.0	240.0	-1260.0
2019-05-29	2019-06-12	3	-136.5	55.5	240.0	-1260.0
2019-05-29	2019-06-13	3	342.0	397.5	240.0	-1260.0
2019-05-29	2019-06-14	3	28.5	426.0	397.5	-1102.5
2019-05-29	2019-06-17	3	13.5	439.5	426.0	-1074.0
2019-05-29	2019-06-18	3	6.0	445.5	439.5	-1060.5
2019-05-29	2019-06-19	3	3.0	448.5	445.5	-1054.5
2019-05-29	2019-06-20	3	52.5	501.0	448.5	-1051.5
2019-05-29	2019-06-21	3	64.5	565.5	501.0	-999.0
2019-05-29	2019-06-24	3	1.5	567.0	565.5	-934.5
2019-05-29	2019-06-25	3	171.0	738.0	567.0	-933.0
2019-05-29	2019-06-26	3	64.5	802.5	738.0	-762.0
2019-05-29	2019-06-27	3	85.5	888.0	802.5	-697.5
2019-05-29	2019-06-28	3	126.0	1014.0	888.0	-612.0
2019-05-29	2019-07-02	3	19.5	1033.5	1014.0	-486.0
2019-05-29	2019-07-03	3	-12.0	1021.5	1033.5	-466.5
2019-05-29	2019-07-04	3	3.0	1024.5	1033.5	-466.5
2019-05-29	2019-07-05	3	-76.5	948.0	1033.5	-466.5
2019-05-29	2019-07-08	3	-12.0	936.0	1033.5	-466.5
2019-05-29	2019-07-09	3	-115.5	820.5	1033.5	-466.5
