Ticket	Entry_time	Exit_time	MAE	MFE	PNL	Unnamed: 6
5259	2023-04-05 05:37:20	2023.04.05 07:03:40	-25.0	4.0	-25.0	12.5
5262	2023-04-05 08:55:20	2023.04.05 09:00:40	-14.5	0.5	-14.5	7.25
5269	2023-04-06 07:37:40	2023.04.06 08:03:40	-10.5	6.5	-10.5	5.25
5271	2023-04-06 08:53:40	2023.04.06 09:30:00	-5.0	35.0	35.0	8.25
4231	2023-04-06 15:07:40	2023.04.06 16:00:00	-8.0	77.0	67.0	15.25
4235	2023-04-07 01:00:40	2023.04.07 03:02:40	-12.5	38.5	-12.5	6.25
5273	2023-04-07 02:08:20	2023.04.07 02:14:40	-7.5	1.5	-7.5	3.75
5275	2023-04-07 02:54:40	2023.04.07 03:30:00	-1.0	21.5	16.0	7.25
5278	2023-04-07 05:22:40	2023.04.07 12:00:00	-13.5	31.0	24.5	8.75
4238	2023-04-07 13:08:40	2023.04.07 15:00:00	-10.0	51.0	36.0	6.5
4240	2023-04-10 01:01:20	2023.04.10 01:15:40	-38.5	6.0	-38.5	19.25
5282	2023-04-10 03:09:40	2023.04.10 03:17:40	-20.5	1.0	-20.5	10.25
5285	2023-04-10 04:05:40	2023.04.10 04:22:40	-15.0	2.5	-15.0	7.5
4242	2023-04-10 05:01:40	2023.04.10 05:12:40	-16.0	1.0	-16.0	8.0
5288	2023-04-10 07:34:40	2023.04.10 08:19:40	-15.5	0.0	-15.5	7.75
4247	2023-04-10 15:05:40	2023.04.10 15:30:00	5.0	72.5	57.5	18.25
5291	2023-04-11 02:17:40	2023.04.11 03:06:40	-16.5	7.5	-16.5	8.25
5295	2023-04-11 04:30:40	2023.04.11 06:55:40	-20.0	22.5	-20.0	10.0
5298	2023-04-11 08:43:40	2023.04.11 11:30:00	-13.0	58.0	34.5	12.75
5303	2023-04-12 07:23:20	2023.04.12 09:06:40	-14.0	15.0	-14.0	7.0
4259	2023-04-12 15:28:40	2023.04.12 15:30:40	-60.0	28.5	-60.0	30.0
4261	2023-04-12 20:45:40	2023.04.12 22:30:00	-54.0	241.5	226.5	44.75
4263	2023-04-13 01:01:40	2023.04.13 02:00:00	-9.0	41.0	28.5	7.5
5305	2023-04-13 02:24:40	2023.04.13 02:56:40	-30.5	6.0	-30.5	15.25
5307	2023-04-13 03:34:40	2023.04.13 10:00:00	-7.5	120.0	107.0	24.0
5309	2023-04-14 03:25:40	2023.04.14 09:01:40	-21.0	33.5	-21.0	10.5
4269	2023-04-14 20:31:40	2023.04.14 20:57:40	-95.5	8.5	-95.5	47.75
5311	2023-04-17 03:23:40	2023.04.17 03:57:40	-37.5	0.0	-37.5	18.75
5314	2023-04-17 04:41:00	2023.04.17 09:00:00	-13.5	29.0	23.0	8.0
4274	2023-04-17 20:55:40	2023.04.17 21:41:40	-55.0	17.5	-55.0	27.5
5319	2023-04-18 04:35:40	2023.04.18 06:38:40	-20.0	13.0	-20.0	10.0
5322	2023-04-18 08:14:40	2023.04.18 09:00:00	-0.5	26.0	22.0	9.5
4281	2023-04-18 21:07:40	2023.04.18 22:58:40	-69.0	52.5	-69.0	34.5
5324	2023-04-19 03:11:40	2023.04.19 04:30:40	-17.0	9.5	-17.0	8.5
4283	2023-04-19 10:40:40	2023.04.19 11:05:40	-42.0	16.5	-42.0	21.0
5333	2023-04-20 04:31:40	2023.04.20 05:31:40	-19.0	20.5	-19.0	9.5
4286	2023-04-20 05:23:40	2023.04.20 08:30:00	-8.0	44.0	42.5	13.25
4289	2023-04-20 21:00:40	2023.04.20 21:30:00	-12.0	120.0	112.0	34.75
5338	2023-04-21 03:38:40	2023.04.21 04:00:00	-1.0	32.5	31.0	13.25
5341	2023-04-21 05:12:20	2023.04.21 05:15:40	-17.0	1.0	-17.0	8.5
5345	2023-04-21 08:06:20	2023.04.21 08:36:40	-13.5	8.0	-13.5	6.75
4291	2023-04-21 11:33:40	2023.04.21 11:54:40	-53.0	10.0	-53.0	26.5
4293	2023-04-21 15:01:40	2023.04.21 15:09:40	-34.0	8.0	-34.0	17.0
5350	2023-04-24 05:24:20	2023.04.24 05:38:40	-22.0	1.5	-22.0	11.0
