Ticket	Entry_time	Exit_time	MAE	MFE	PNL	
14743	2021.02.24 03:02:20	2021.02.24 05:18:20	-74.5	146	-74.5	37.25
14749	2021.02.24 08:44:40	2021.02.24 16:36:40	-130.5	406.5	-130.5	65.25
14751	2021.02.24 18:05:40	2021.02.24 23:30:00	-38	420.5	420.5	119.25
14756	2021.02.25 08:55:40	2021.02.25 09:23:40	-37.5	20.5	-37.5	18.75
14758	2021.02.25 14:03:40	2021.02.25 17:06:40	-85	203	-85	42.5
14761	2021.02.25 18:08:40	2021.02.25 18:37:40	-193	32	-193	96.5
14763	2021.02.25 20:20:40	2021.02.25 22:15:40	-256	116.5	-256	128
14767	2021.02.26 03:03:20	2021.02.26 07:30:40	-197	126.5	-197	98.5
14769	2021.02.26 08:03:40	2021.02.26 23:30:00	-87.5	730	331	62.25
14772	2021.03.01 05:46:40	2021.03.01 06:45:40	-56.5	25.5	-56.5	28.25
14774	2021.03.01 07:10:40	2021.03.01 23:30:00	-48	498.5	482.5	27.75
14781	2021.03.02 08:07:40	2021.03.02 09:42:40	-72	45.5	-72	36
14783	2021.03.02 14:03:40	2021.03.02 16:40:40	-41	116.5	-41	20.5
14789	2021.03.03 04:47:40	2021.03.03 15:31:40	-88.5	151.5	-88.5	44.25
14792	2021.03.03 18:01:40	2021.03.03 19:57:20	-200	95	-200	100
14794	2021.03.03 20:22:40	2021.03.03 20:32:40	-109	1	-109	54.5
14797	2021.03.04 02:35:40	2021.03.04 04:37:40	-113.5	43.5	-113.5	56.75
14800	2021.03.04 07:38:40	2021.03.04 08:00:40	-50	16	-50	25
14802	2021.03.04 18:02:40	2021.03.04 19:27:40	-393.5	64	-393.5	196.75
14807	2021.03.05 04:50:40	2021.03.05 17:31:40	-104	490.5	-104	52
14812	2021.03.08 02:50:40	2021.03.08 04:18:40	-143	19	-143	71.5
14818	2021.03.08 08:05:40	2021.03.08 08:39:40	-81.5	14.5	-81.5	40.75
