Ticket	Entry_time	Exit_time	MAE	MFE	PNL	
513	2021.08.03 14:42:40	2021.08.03 16:32:40	-27.5	48.5	-27.5	13.75
518	2021.08.05 14:33:40	2021.08.05 15:31:40	-24.5	15	-24.5	12.25
520	2021.08.10 14:01:40	2021.08.10 14:42:40	-13.5	10.5	-13.5	6.75
523	2021.08.12 14:34:40	2021.08.12 15:26:40	-25.5	5.5	-25.5	12.75
531	2021.08.20 14:28:40	2021.08.20 15:30:00	-6	64	48.5	15
540	2021.09.01 14:32:40	2021.09.01 17:00:00	-6.5	153	96.5	14
542	2021.09.02 14:14:40	2021.09.02 16:00:00	-8.5	35	23.5	8
544	2021.09.03 14:10:40	2021.09.03 15:38:40	-13	110.5	-13	6.5
546	2021.09.06 14:39:40	2021.09.07 03:00:40	-18.5	24.5	-18.5	9.25
548	2021.09.07 14:00:40	2021.09.07 16:35:20	-32	54	-32	16
550	2021.09.08 14:11:40	2021.09.08 15:15:40	-22.5	17	-22.5	11.25
552	2021.09.09 14:06:40	2021.09.09 14:14:40	-16.5	2.5	-16.5	8.25
554	2021.09.09 14:35:40	2021.09.09 14:43:40	-22.5	0	-22.5	11.25
562	2021.09.17 14:38:40	2021.09.17 15:30:00	-12.5	63	52.5	19
570	2021.09.23 14:33:40	2021.09.23 14:47:20	-29.5	14	-29.5	14.75
575	2021.09.28 14:00:40	2021.09.28 14:22:40	-74	8	-74	37
580	2021.10.05 14:29:20	2021.10.05 16:07:40	-49	31.5	-49	24.5
582	2021.10.06 14:03:40	2021.10.06 15:30:00	-17	108	98.5	29.25
584	2021.10.08 14:02:40	2021.10.08 15:30:00	0	79	49.5	13.25
588	2021.10.14 14:10:40	2021.10.14 15:00:00	-1.5	65	52	14.25
590	2021.10.15 14:21:20	2021.10.15 16:14:40	-38.5	29	-38.5	19.25
596	2021.10.25 14:48:40	2021.10.25 16:40:40	-57	102	-57	28.5
598	2021.10.27 14:26:40	2021.10.27 17:00:00	-53.5	215	208	31
603	2021.11.05 14:33:40	2021.11.05 15:30:00	-8.5	108	86.5	11.5
609	2021.11.15 14:54:40	2021.11.15 15:30:00	-7	82.5	61	13.5
613	2021.11.18 14:30:40	2021.11.18 14:42:40	-16	1.5	-16	8
615	2021.11.19 14:08:40	2021.11.19 17:00:00	-68.5	131	125	35
620	2021.11.25 14:33:40	2021.11.25 15:13:40	-25.5	19	-25.5	12.75
622	2021.11.26 14:03:40	2021.11.26 15:02:40	-72.5	88	-72.5	36.25
625	2021.11.29 14:40:20	2021.11.29 16:00:00	-35.5	85.5	74	23.75
627	2021.11.30 14:24:40	2021.11.30 17:00:00	-67.5	191	169	42.5
634	2021.12.09 14:06:20	2021.12.09 17:25:20	-59.5	164.5	-59.5	29.75
639	2021.12.13 14:36:40	2021.12.13 16:00:40	-36	4.5	-36	18
641	2021.12.14 14:08:40	2021.12.14 15:30:40	-58.5	51	-58.5	29.25
647	2021.12.21 14:27:40	2021.12.21 15:08:40	-41.5	23.5	-41.5	20.75
650	2021.12.23 14:01:40	2021.12.23 15:25:40	-24	27.5	-24	12
652	2021.12.28 14:24:20	2021.12.28 15:15:40	-33.5	27.5	-33.5	16.75
655	2021.12.30 14:35:40	2021.12.30 14:57:40	-25	13	-25	12.5
657	2021.12.31 14:27:40	2021.12.31 17:01:40	-49.5	127.5	-49.5	24.75
662	2022.01.06 14:05:40	2022.01.06 14:26:40	-77	7	-77	38.5
665	2022.01.07 14:06:40	2022.01.07 14:26:40	-64.5	7	-64.5	32.25
669	2022.01.13 14:11:40	2022.01.13 16:00:00	-23.5	116.5	91	20.75
681	2022.01.27 14:53:40	2022.01.27 17:00:00	-74	301	220	77.5
683	2022.01.28 14:03:40	2022.01.28 14:21:40	-95.5	29.5	-95.5	47.75
687	2022.02.03 14:37:40	2022.02.03 15:44:40	-87.5	56.5	-87.5	43.75
689	2022.02.04 14:45:40	2022.02.04 15:30:40	-142.5	96	-142.5	71.25
693	2022.02.10 14:02:40	2022.02.10 15:30:40	-38	90	-38	19
