Ticket	Entry_time	Exit_time	MAE	MFE	PNL	
1164	2021.10.15 04:07:40	2021.10.15 04:52:40	-36	21	-36	SHORT
1169	2021.10.21 04:07:40	2021.10.21 04:36:40	-28.5	10.5	-28.5	SHORT
1180	2021.10.28 05:20:40	2021.10.28 08:01:20	-27.5	33.5	-27.5	SHORT
1182	2021.10.29 01:39:40	2021.10.29 03:30:00	-8.5	38.5	33	SHORT
1184	2021.10.29 04:09:40	2021.10.29 06:21:40	-23.5	24.5	-23.5	SHORT
1202	2021.11.18 05:01:20	2021.11.18 05:46:40	-18.5	3	-18.5	SHORT
1206	2021.11.22 01:46:40	2021.11.22 03:03:40	-45	28	-45	SHORT
1209	2021.11.23 01:48:20	2021.11.23 04:30:00	-41.5	111.5	103	SHORT
1212	2021.11.24 05:03:40	2021.11.24 06:30:00	-12.5	45.5	26	SHORT
1218	2021.11.29 05:18:40	2021.11.29 07:30:00	-35	78.5	60.5	SHORT
1221	2021.11.30 05:15:40	2021.11.30 06:01:40	-33.5	15	-33.5	SHORT
1223	2021.12.01 01:37:40	2021.12.01 02:30:00	-33.5	104.5	90.5	SHORT
1228	2021.12.02 05:25:40	2021.12.02 09:07:20	-83	29	-83	SHORT
1233	2021.12.07 04:11:40	2021.12.07 06:12:40	-55	25	-55	SHORT
1243	2021.12.13 04:09:40	2021.12.13 07:30:00	-12	42	38	SHORT
1251	2021.12.23 05:10:20	2021.12.23 08:01:40	-17	13	-17	SHORT
1254	2021.12.27 04:04:40	2021.12.27 04:32:40	-22.5	4.5	-22.5	SHORT
1262	2021.12.31 01:32:40	2021.12.31 02:30:00	-13	164	133	SHORT
1267	2022.01.04 01:30:40	2022.01.04 02:30:00	-5	38	26	SHORT
1272	2022.01.06 04:15:40	2022.01.06 06:00:00	-34.5	198.5	190	SHORT
1281	2022.01.18 04:27:40	2022.01.18 06:00:00	-30	237.5	209	SHORT
1285	2022.01.24 04:24:40	2022.01.24 11:00:00	-75	129.5	89	SHORT
1287	2022.01.25 05:10:40	2022.01.25 07:00:00	-1	152	111	SHORT
1293	2022.01.28 01:49:40	2022.01.28 10:30:00	-120	224.5	185	SHORT
1297	2022.02.01 01:32:40	2022.02.01 04:00:00	-41.5	77	62	SHORT
1300	2022.02.02 04:23:40	2022.02.02 05:24:40	-22	7	-22	SHORT
1308	2022.02.10 05:00:40	2022.02.10 05:39:40	-31.5	20.5	-31.5	SHORT
1310	2022.02.11 04:10:40	2022.02.11 07:00:00	-19	158	138	SHORT
1315	2022.02.15 05:01:40	2022.02.15 06:00:00	-6.5	57	40	SHORT
1318	2022.02.17 01:44:40	2022.02.17 06:00:00	-33.5	141	134	SHORT
1324	2022.02.21 05:19:40	2022.02.21 06:00:00	-20.5	89	61.5	SHORT
1327	2022.02.23 05:14:40	2022.02.23 05:22:40	-43	8	-43	SHORT
1343	2022.03.15 04:09:40	2022.03.15 05:32:40	-52.5	68	-52.5	SHORT
1347	2022.03.17 04:07:40	2022.03.17 04:30:00	-7.5	61	59	SHORT
1351	2022.03.21 04:22:40	2022.03.21 08:30:00	-18	80	56.5	SHORT
1354	2022.03.23 05:13:40	2022.03.23 05:21:40	-38.5	10	-38.5	SHORT
1358	2022.03.25 04:00:40	2022.03.25 04:09:40	-27	3	-27	SHORT
1366	2022.04.04 05:00:40	2022.04.04 06:14:40	-20	10.5	-20	SHORT
1368	2022.04.05 04:28:40	2022.04.05 05:34:40	-22.5	6	-22.5	SHORT
1373	2022.04.08 04:21:40	2022.04.08 04:45:40	-26	8	-26	SHORT
1382	2022.04.18 05:17:40	2022.04.18 05:57:20	-31.5	12	-31.5	SHORT
1386	2022.04.20 04:15:40	2022.04.20 04:30:00	26.5	70.5	45.5	SHORT
1396	2022.04.27 05:07:40	2022.04.27 05:54:40	-104.5	41	-104.5	SHORT
1401	2022.04.29 05:14:40	2022.04.29 07:59:40	-61.5	64.5	-61.5	SHORT
1420	2022.05.13 04:01:40	2022.05.13 04:19:40	-41.5	13.5	-41.5	SHORT
1423	2022.05.16 04:20:40	2022.05.16 05:00:00	-6.5	120	104.5	SHORT
1427	2022.05.18 01:56:40	2022.05.18 04:00:00	-10	60.5	44.5	SHORT
1429	2022.05.19 04:24:40	2022.05.19 05:41:40	-56.5	35	-56.5	SHORT
1432	2022.05.20 05:04:40	2022.05.20 07:25:40	-43	55.5	-43	SHORT
1435	2022.05.24 04:06:40	2022.05.24 04:54:40	-34.5	31	-34.5	SHORT
1437	2022.05.24 05:17:40	2022.05.24 08:30:00	-26	78	66.5	SHORT
1464	2022.06.16 04:00:40	2022.06.16 04:08:40	-23	2.5	-23	SHORT
1466	2022.06.17 01:58:40	2022.06.17 04:45:20	-89	43	-89	SHORT
1480	2022.07.05 04:04:40	2022.07.05 04:30:00	-19.5	54.5	44	SHORT
1483	2022.07.06 01:42:40	2022.07.06 04:05:40	-109	73.5	-109	SHORT
1485	2022.07.07 04:00:40	2022.07.07 05:44:40	-55.5	69.5	-55.5	SHORT
1488	2022.07.11 04:04:40	2022.07.11 04:30:00	1.5	58.5	53.5	SHORT
1490	2022.07.12 05:17:20	2022.07.12 10:30:00	-22	86	73	SHORT
1499	2022.07.21 04:05:40	2022.07.21 04:30:00	-23.5	59	54.5	SHORT
1502	2022.07.22 04:03:40	2022.07.22 04:35:40	-26	12.5	-26	SHORT
1504	2022.07.22 05:11:40	2022.07.22 10:15:20	-44.5	49	-44.5	SHORT
1517	2022.08.08 04:21:40	2022.08.08 04:31:40	-26.5	3.5	-26.5	SHORT
1520	2022.08.10 01:36:40	2022.08.10 03:30:00	-26.5	53	42	SHORT
1523	2022.08.15 04:05:40	2022.08.15 04:45:20	-27.5	22.5	-27.5	SHORT
1525	2022.08.15 05:15:40	2022.08.15 10:30:00	-35	62	43	SHORT
1527	2022.08.16 04:16:40	2022.08.16 05:05:20	-20.5	22.5	-20.5	SHORT
1529	2022.08.17 04:02:40	2022.08.17 08:01:40	-29	18	-29	SHORT
1536	2022.08.25 01:37:40	2022.08.25 03:38:40	-29	34	-29	SHORT
1549	2022.09.02 01:34:40	2022.09.02 05:30:00	-25.5	80.5	71.5	SHORT
1558	2022.09.09 04:29:40	2022.09.09 07:36:40	-50	27	-50	SHORT
1561	2022.09.12 05:06:40	2022.09.12 07:30:00	-13.5	55.5	51.5	SHORT
1563	2022.09.13 04:23:20	2022.09.13 08:54:40	-34.5	33	-34.5	SHORT
1567	2022.09.15 04:06:40	2022.09.15 04:52:40	-37	26	-37	SHORT
1573	2022.09.22 01:41:40	2022.09.22 02:00:00	-2.5	73	63	SHORT
1577	2022.09.23 05:16:40	2022.09.23 07:00:00	-5.5	78	55	SHORT
