Date	PNL	MAE	MFE
16.06.2020	4929.5	4790.5	5002.0
17.06.2020	5000.5	4843.0	5007.0
18.06.2020	5023.0	4912.0	5039.5
19.06.2020	5072.5	5009.5	5073.5
22.06.2020	5231.5	5060.0	5242.5
23.06.2020	5269.5	5166.0	5281.0
24.06.2020	5286.5	5224.0	5353.5
25.06.2020	5244.5	5244.5	5341.5
26.06.2020	5162.0	5162.0	5281.5
29.06.2020	5148.0	5118.5	5242.5
30.06.2020	5071.5	5071.5	5152.0
01.07.2020	4997.0	4997.0	5107.0
02.07.2020	5036.0	4960.5	5050.5
03.07.2020	5054.0	4971.0	5061.0
06.07.2020	5066.5	5044.5	5135.0
07.07.2020	4994.5	4994.5	5073.0
08.07.2020	4965.5	4921.5	5032.0
09.07.2020	4970.5	4937.5	4998.5
10.07.2020	4988.0	4892.0	5003.0
13.07.2020	4960.0	4907.5	4992.0
14.07.2020	4876.0	4876.0	5058.5
15.07.2020	4940.5	4812.5	4943.0
16.07.2020	4828.0	4828.0	4960.5
17.07.2020	4892.0	4778.5	4905.0
20.07.2020	4780.0	4780.0	4901.5
21.07.2020	4930.5	4742.0	4948.0
22.07.2020	4980.5	4904.0	4987.0
23.07.2020	5087.5	4872.5	5136.5
24.07.2020	5059.0	5059.0	5108.0
27.07.2020	5237.5	5026.0	5238.0
28.07.2020	5266.0	5237.5	5341.0
29.07.2020	5258.0	5156.5	5287.5
30.07.2020	5216.0	5216.0	5275.0
31.07.2020	5291.0	5189.0	5301.0
03.08.2020	5316.0	5288.5	5372.0
04.08.2020	5374.5	5293.5	5392.0
05.08.2020	5424.0	5339.5	5424.5
06.08.2020	5487.5	5421.5	5502.5
07.08.2020	5571.0	5487.5	5575.0
10.08.2020	5562.0	5532.5	5575.5
11.08.2020	5554.5	5545.0	5619.5
12.08.2020	5630.0	5469.5	5638.0
13.08.2020	5683.5	5590.0	5696.0
14.08.2020	5696.5	5631.5	5719.0
17.08.2020	5698.0	5690.5	5748.0
18.08.2020	5675.5	5675.5	5713.5
19.08.2020	5687.0	5671.5	5717.0
20.08.2020	5728.5	5607.5	5739.5
21.08.2020	5708.0	5708.0	5779.0
24.08.2020	5756.0	5686.0	5761.0
25.08.2020	5745.5	5741.0	5792.0
26.08.2020	5698.5	5698.5	5777.5
27.08.2020	5753.0	5612.5	5804.0
28.08.2020	5867.5	5732.0	5870.5
31.08.2020	5856.0	5856.0	5876.0
01.09.2020	5956.0	5807.0	5956.5
02.09.2020	5939.5	5939.5	5999.0
03.09.2020	5837.5	5837.5	5952.0
04.09.2020	6034.5	5746.5	6066.5
07.09.2020	5913.5	5913.5	6129.5
08.09.2020	5958.0	5831.0	5962.0
09.09.2020	6093.0	5930.5	6314.5
10.09.2020	6254.5	6073.5	6261.0
11.09.2020	6385.0	6238.0	6395.5
14.09.2020	6418.5	6342.0	6461.5
15.09.2020	6619.0	6418.5	6621.5
16.09.2020	6776.0	6561.5	6795.0
17.09.2020	6543.0	6543.0	6818.5
18.09.2020	6385.0	6385.0	6664.0
21.09.2020	6128.5	6128.5	6486.0
22.09.2020	5977.0	5977.0	6204.0
23.09.2020	6040.0	5861.0	6047.0
24.09.2020	5862.5	5862.5	6106.5
25.09.2020	5802.0	5802.0	5924.5
28.09.2020	5924.0	5802.0	5927.0
29.09.2020	5985.5	5891.5	5989.0
30.09.2020	5948.0	5948.0	6054.0
01.10.2020	6047.0	5948.0	6050.5
02.10.2020	5818.5	5818.5	6113.0
05.10.2020	5776.5	5776.5	5844.5
06.10.2020	5728.5	5728.5	5862.0
07.10.2020	5849.5	5682.0	5882.5
08.10.2020	5956.5	5849.5	5970.0
09.10.2020	5941.0	5920.5	5971.5
12.10.2020	5953.0	5893.5	5969.5
13.10.2020	5920.5	5812.0	5972.0
14.10.2020	5900.5	5900.5	6032.0
