Date	Daily_PNL	Daily_MAE	Daily_MFE	Equity_Close	Equity_Peak	Equity_Trough	Trailing_DD	Worst_DD_So_Far
18.11.2021	25.5	-55	113.5	14354.5	14442.5	14274	-168.5	-3276
19.11.2021	-109	-159	53	14245.5	14442.5	14195.5	-247	-3276
22.11.2021	223	-10	237.5	14468.5	14483	14235.5	-247.5	-3276
23.11.2021	-358	-427.5	7.5	14110.5	14483	14041	-442	-3276
24.11.2021	-5.5	-216	126	14105	14483	13894.5	-588.5	-3276
25.11.2021	2	-11	96	14107	14483	14094	-389	-3276
26.11.2021	-376.5	-376.5	27	13730.5	14483	13730.5	-752.5	-3276
28.11.2021	204.5	-140.5	231.5	13935	14483	13590	-893	-3276
29.11.2021	140	-57.5	148.5	14075	14483	13877.5	-605.5	-3276
30.11.2021	-15.5	-209	134	14059.5	14483	13866	-617	-3276
01.12.2021	-148	-148	298.5	13911.5	14483	13911.5	-571.5	-3276
02.12.2021	402.5	-80.5	532.5	14314	14483	13831	-652	-3276
03.12.2021	-341.5	-341.5	33	13972.5	14483	13972.5	-510.5	-3276
06.12.2021	96	-267.5	214.5	14068.5	14483	13705	-778	-3276
07.12.2021	287.5	-8	384.5	14356	14483	14060.5	-422.5	-3276
08.12.2021	8	-127	146	14364	14502	14229	-273	-3276
09.12.2021	-44	-44	76.5	14320	14502	14320	-182	-3276
10.12.2021	-127	-143	96.5	14193	14502	14177	-325	-3276
12.12.2021	49.5	0	56.5	14242.5	14502	14193	-309	-3276
13.12.2021	50	-96.5	71	14292.5	14502	14146	-356	-3276
14.12.2021	-74	-229	52.5	14218.5	14502	14063.5	-438.5	-3276
15.12.2021	-68	-152.5	86	14150.5	14502	14066	-436	-3276
16.12.2021	-178.5	-178.5	148.5	13972	14502	13972	-530	-3276
17.12.2021	-381.5	-396.5	44	13590.5	14502	13575.5	-926.5	-3276
20.12.2021	-241	-328	24	13349.5	14502	13262.5	-1239.5	-3276
21.12.2021	466	0	470	13815.5	14502	13349.5	-1152.5	-3276
22.12.2021	276	-136.5	280	14091.5	14502	13679	-823	-3276
23.12.2021	68.5	-45.5	128	14160	14502	14046	-456	-3276
27.12.2021	133.5	-104.5	134.5	14293.5	14502	14055.5	-446.5	-3276
28.12.2021	38	-51.5	64	14331.5	14502	14242	-260	-3276
29.12.2021	-26	-116.5	21.5	14305.5	14502	14215	-287	-3276
30.12.2021	-173.5	-173.5	56	14132	14502	14132	-370	-3276
31.12.2021	-103	-119	61	14029	14502	14013	-489	-3276
03.01.2022	-1.5	-76.5	171	14027.5	14502	13952.5	-549.5	-3276
04.01.2022	-45	-116	122	13982.5	14502	13911.5	-590.5	-3276
05.01.2022	-137	-137	113	13845.5	14502	13845.5	-656.5	-3276
06.01.2022	-343.5	-415	150.5	13502	14502	13430.5	-1071.5	-3276
07.01.2022	-19.5	-80	148	13482.5	14502	13422	-1080	-3276
10.01.2022	21.5	-256	98.5	13504	14502	13226.5	-1275.5	-3276
11.01.2022	333.5	-163	385	13837.5	14502	13341	-1161	-3276
12.01.2022	-41	-75	214.5	13796.5	14502	13762.5	-739.5	-3276
13.01.2022	103.5	-57.5	129.5	13900	14502	13739	-763	-3276
